"02/06/08","C0216","SI160414","0042954-0002","stud earring","1","PAIR","420.33","420.33","750","WG","0","CUSTOM","HDB-TWIN08","A4252-CP000711433031","FZE017/08/Sample","HDB1648","SOR039530","20000","7.43","","7.43008","06/03/08","MKS BRAND","7.43008","0.0309325546578240804"
"02/06/08","C0216","SI160414","0042959-0002","Pendant","1","PCS","476.92","476.92","750","WG","0","CUSTOM","HDB-TWIN08","A4257-GP0007114B3000","FZE017/08/Sample","HDB1653","SOR039530","70000","3.58","","3.58","06/03/08","MKS BRAND","3.58","0.0309325546578240804"
"02/06/08","C0216","SI160415","0042972-0002","Ring ladies","1","PCS","1,704.39","1,704.39","750","WG","0","CUSTOM","HDB-2008","A4270-LP0007114B3000","FZE018/08/Sample/Dublas","HDB1483","SOR039531","80000","15.48","","15.48","06/03/08","MKS BRAND","15.48","0.0309325546578240804"
"02/06/08","C0216","SI160407","0043084-0002","Pendant","1","PCS","1,526.81","1,526.81","750","WG","0","CUSTOM","HDB-2008","A4376-GP154711433000","FZE030/08/JAM LEB","HDB1688","SOR040021","520000","13.59","","13.5921","22/04/08","MKS BRAND","13.5921","0.0309325546578240804"
"02/06/08","C0216","SI160407","0043086-0002","Pendant","1","PCS","404.7","404.7","750","WG","0","CUSTOM","HDB-2008","A4378-GP002713433000","FZE030/08/JAM LEB","HDB1690","SOR040021","560000","4.42","","4.4192","22/04/08","MKS BRAND","4.4192","0.0309325546578240804"
"02/06/08","C0216","SI160407","0043087-0002","Pendant","1","PCS","2,122.97","2,122.97","750","WG","0","CUSTOM","HDB-2008","A4379-GP003713433000","FZE030/08/JAM LEB","HDB1691","SOR040021","580000","7.9","","7.89512","22/04/08","MKS BRAND","7.89512","0.0309325546578240804"
"02/06/08","C0216","SI160407","0043088-0002","Pendant","1","PCS","354.67","354.67","750","WG","0","CUSTOM","HDB-2008","A4380-GP999711000000","FZE030/08/JAM LEB","HDB1692","SOR040021","600000","2.75","","2.752","22/04/08","MKS BRAND","2.752","0.0309325546578240804"
"02/06/08","C0216","SI160407","0043089-0002","Pendant","1","PCS","1,945.56","1,945.56","750","WG","0","CUSTOM","HDB-2008","A4381-GP003713433000","FZE030/08/JAM LEB","HDB1693","SOR040021","620000","8.28","","8.28202","22/04/08","MKS BRAND","8.28202","0.0309325546578240804"
"02/06/08","C0216","SI160405","0043112-0002","Earring Omega","1","PAIR","2,020.42","2,020.42","750","WG","0","CUSTOM","HDB-2008","A4388-AP012711933086","FZE003/08","HDB0393","SOR038851","515000","15.18","","15.17572","03/01/08","MKS BRAND","15.17572","0.0309325546578240804"
"03/06/08","C0202","SI160436","FREIGHT","Freight & Insurance Cost","1","PCS","330","330","","","0","COSTS","HDB-2008","","HP011/08","HDB0393","SOR039942","30000","15.18","","0","17/04/08","MKS BRAND","0","0.0308913704956520396"
"03/06/08","C0001","SI160438","FREIGHT","Freight & Insurance Cost","1","PCS","8.11","8.11","","","0","COSTS","HDB-2008","","VLS147783","HDB0393","REP009007","50000","15.18","","0","27/05/08","MKS BRAND","0","0.0199271066438966261"
"03/06/08","C0001","SI160439","REPAIR","Repair cost for jewelry","1","PCS","21.44","21.44","","","0","LABOUR","HDB-2008","","VLS147791","HDB0393","REP009009","25000","15.18","","0","27/05/08","MKS BRAND","0","0.0199271066438966261"
"03/06/08","C0001","SI160439","REPAIR","Repair cost for jewelry","1","PCS","5.49","5.49","","","0","LABOUR","HDB-2008","","VLS147791","HDB0393","REP009009","70000","15.18","","0","27/05/08","MKS BRAND","0","0.0199271066438966261"
"03/06/08","C0001","SI160437","0002574-0006","Earring Creole","0.5","PAIR","117.26","58.63","585","YG","4.91","VOLUME","1","02944-EY000521433091","EB038385/VLS147456","0002574-0006","SOR040123","30000","8.16","211000425175","8.1578","02/05/08","CLASSIC","8.1578","0.0199271066438966261"
"03/06/08","C0001","SI160429","0004241-0024","Pendant","1","PCS","60.3","60.3","585","YG","4.3","VOLUME","1","02398-GP000521423000","EB038510/Sample","0084908-0002","SOR040274","20000","3.95","211000426156","3.95034","20/05/08","CLASSIC","3.95034","0.0199849313617532381"
"03/06/08","C0001","SI160441","0009276-0019","Ring  ladies emerald","-1","PCS","0","0","585","YG","4.61","VOLUME","1","02731-LP003527000000","VLS147783","0009276-0019","REP009007","10000","4.57","","4.57","27/05/08","CLASSIC","0","0.0199271066438966261"
"03/06/08","C0001","SI160441","0009276-0019","Ring  ladies emerald","1","PCS","0","0","585","YG","4.61","VOLUME","1","02731-LP003527000000","VLS147783","0009276-0019","REP009007","20000","4.18","","4.184","27/05/08","CLASSIC","4.184","0.0199271066438966261"
"03/06/08","C0010","SI160451","0018227-00015","Pendant ruby","1","PCS","663.1","663.1","750","WG","0","CUSTOM","MKS","06630-GP001711933000","EB003079/Sample","0087255-0002","SOR040319","20000","5.41","241000024508","5.4142","22/05/08","MKS BRAND","5.4142","0.0199271066438966261"
